exch,contract,area,code,indust,name,product,exchg
SSE,600110,长春市,600110,电子,诺德股份,STK,SSE
SSE,600111,包头市,600111,有色金属,北方稀土,STK,SSE
SSE,600112,遵义市,600112,电气设备,ST天成,STK,SSE
SSE,600113,温州市,600113,商业贸易,浙江东日,STK,SSE
SSE,600114,宁波市,600114,有色金属,东睦股份,STK,SSE
SSE,600115,上海市,600115,交通运输,东方航空,STK,SSE
SSE,600116,重庆市,600116,公用事业,三峡水利,STK,SSE
SSE,600117,西宁市,600117,钢铁,西宁特钢,STK,SSE
SSE,600118,北京市,600118,国防军工,中国卫星,STK,SSE
SSE,600119,上海市,600119,交通运输,*ST长投,STK,SSE
SSE,600120,杭州市,600120,非银金融,浙江东方,STK,SSE
SSE,600121,郑州市,600121,采掘,郑州煤电,STK,SSE
SSE,600122,南京市,600122,商业贸易,宏图高科,STK,SSE
SSE,600123,晋城市,600123,采掘,兰花科创,STK,SSE
SSE,600125,大连市,600125,交通运输,铁龙物流,STK,SSE
SSE,600126,杭州市,600126,钢铁,杭钢股份,STK,SSE
SSE,600127,常德市,600127,农林牧渔,金健米业,STK,SSE
SSE,600128,南京市,600128,综合,弘业股份,STK,SSE
SSE,600129,重庆市,600129,医药生物,太极集团,STK,SSE
SSE,600130,宁波市,600130,通信,波导股份,STK,SSE
SSE,600131,阿坝藏族羌族自治州,600131,公用事业,国网信通,STK,SSE
SSE,600132,重庆市,600132,食品饮料,重庆啤酒,STK,SSE
SSE,600133,武汉市,600133,建筑装饰,东湖高新,STK,SSE
SSE,600135,保定市,600135,轻工制造,乐凯胶片,STK,SSE
SSE,600136,武汉市,600136,传媒,当代明诚,STK,SSE
SSE,600137,宜宾市,600137,纺织服装,浪莎股份,STK,SSE
SSE,600138,北京市,600138,休闲服务,中青旅,STK,SSE
SSE,600139,绵阳市,600139,综合,西部资源,STK,SSE
SSE,600141,宜昌市,600141,化工,兴发集团,STK,SSE
SSE,600143,广州市,600143,化工,金发科技,STK,SSE
SSE,600145,塔城市,600145,商业贸易,*ST新亿,STK,SSE
SSE,600146,银川市,600146,纺织服装,商赢环球,STK,SSE
SSE,600148,长春市,600148,汽车,长春一东,STK,SSE
SSE,600149,廊坊市,600149,综合,ST坊展,STK,SSE
SSE,600150,上海市,600150,国防军工,中国船舶,STK,SSE
SSE,600151,上海市,600151,电气设备,航天机电,STK,SSE
SSE,600152,宁波市,600152,电子,维科技术,STK,SSE
SSE,600153,厦门市,600153,交通运输,建发股份,STK,SSE
SSE,600155,北京市,600155,非银金融,华创阳安,STK,SSE
SSE,600156,长沙市,600156,纺织服装,华升股份,STK,SSE
SSE,600157,晋中市,600157,采掘,永泰能源,STK,SSE
SSE,600158,天津市,600158,传媒,中体产业,STK,SSE
SSE,600159,北京市,600159,房地产,大龙地产,STK,SSE
SSE,600160,衢州市,600160,化工,巨化股份,STK,SSE
SSE,600161,北京市,600161,医药生物,天坛生物,STK,SSE
SSE,600162,深圳市,600162,房地产,香江控股,STK,SSE
SSE,600163,南平市,600163,公用事业,中闽能源,STK,SSE
SSE,600165,石嘴山市,600165,化工,新日恒力,STK,SSE
SSE,600166,北京市,600166,汽车,福田汽车,STK,SSE
SSE,600167,沈阳市,600167,公用事业,联美控股,STK,SSE
SSE,600168,武汉市,600168,公用事业,武汉控股,STK,SSE
SSE,600169,太原市,600169,机械设备,太原重工,STK,SSE
SSE,600170,上海市,600170,建筑装饰,上海建工,STK,SSE
SSE,600171,上海市,600171,电子,上海贝岭,STK,SSE
SSE,600172,长葛市,600172,机械设备,黄河旋风,STK,SSE
SSE,600173,绍兴市,600173,房地产,卧龙地产,STK,SSE
SSE,600175,湖州市,600175,综合,美都能源,STK,SSE
SSE,600176,桐乡市,600176,化工,中国巨石,STK,SSE
SSE,600177,宁波市,600177,房地产,雅戈尔,STK,SSE
SSE,600178,哈尔滨市,600178,汽车,东安动力,STK,SSE
SSE,600179,齐齐哈尔市,600179,交通运输,ST安通,STK,SSE
SSE,600180,烟台市,600180,交通运输,瑞茂通,STK,SSE
SSE,600181,昆明市,600181,0,*ST云大(退市),STK,SSE
SSE,600182,牡丹江市,600182,化工,S佳通,STK,SSE
SSE,600183,东莞市,600183,电子,生益科技,STK,SSE
SSE,600184,襄阳市,600184,国防军工,光电股份,STK,SSE
SSE,600185,珠海市,600185,房地产,格力地产,STK,SSE
SSE,600186,项城市,600186,食品饮料,莲花健康,STK,SSE
SSE,600187,哈尔滨市,600187,公用事业,国中水务,STK,SSE
SSE,600188,邹城市,600188,采掘,兖州煤业,STK,SSE
SSE,600189,长春市,600189,食品饮料,吉林森工,STK,SSE
SSE,600190,锦州市,600190,交通运输,锦州港,STK,SSE
SSE,600191,包头市,600191,农林牧渔,华资实业,STK,SSE
SSE,600192,兰州市,600192,电气设备,长城电工,STK,SSE
SSE,600193,上海市,600193,建筑装饰,ST创兴,STK,SSE
SSE,600195,北京市,600195,农林牧渔,中牧股份,STK,SSE
SSE,600196,上海市,600196,医药生物,复星医药,STK,SSE
SSE,600197,伊犁哈萨克自治州,600197,食品饮料,伊力特,STK,SSE
SSE,600198,北京市,600198,电子,大唐电信,STK,SSE
SSE,600199,阜阳市,600199,食品饮料,金种子酒,STK,SSE
SSE,600200,苏州市,600200,医药生物,江苏吴中,STK,SSE
SSE,600201,呼和浩特市,600201,农林牧渔,生物股份,STK,SSE
SSE,600202,哈尔滨市,600202,电气设备,哈空调,STK,SSE
SSE,600203,福州市,600203,电子,福日电子,STK,SSE
SSE,600205,淄博市,600205,0,S山东铝(退市),STK,SSE
SSE,600206,北京市,600206,有色金属,有研新材,STK,SSE
SSE,600207,安阳市,600207,电气设备,安彩高科,STK,SSE
SSE,600208,嘉兴市,600208,房地产,新湖中宝,STK,SSE
SSE,600209,海口市,600209,建筑装饰,ST罗顿,STK,SSE
SSE,600210,上海市,600210,轻工制造,紫江企业,STK,SSE
SSE,600211,拉萨市,600211,医药生物,西藏药业,STK,SSE
SSE,600212,临沂市,600212,综合,江泉实业,STK,SSE
SSE,600213,扬州市,600213,汽车,亚星客车,STK,SSE
SSE,600215,长春市,600215,房地产,长春经开,STK,SSE
SSE,600216,绍兴市,600216,医药生物,浙江医药,STK,SSE
SSE,600217,铜川市,600217,公用事业,中再资环,STK,SSE
SSE,600218,滁州市,600218,机械设备,全柴动力,STK,SSE
SSE,600219,龙口市,600219,有色金属,南山铝业,STK,SSE
SSE,600220,江阴市,600220,纺织服装,江苏阳光,STK,SSE
SSE,600221,海口市,600221,交通运输,海航控股,STK,SSE
SSE,600222,郑州市,600222,医药生物,太龙药业,STK,SSE
SSE,600223,淄博市,600223,房地产,鲁商发展,STK,SSE
SSE,600225,天津市,600225,房地产,天津松江,STK,SSE
